Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","01530","Sweet potatoes","2023","2023","ha","110000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01530","Sweet potatoes","2023","2023","kg/ha","11718.2","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01530","Sweet potatoes","2023","2023","t","1289000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01324","Tangerines, mandarins, clementines","2023","2023","ha","460000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01324","Tangerines, mandarins, clementines","2023","2023","kg/ha","13430.4","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01324","Tangerines, mandarins, clementines","2023","2023","t","6178000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01620","Tea leaves","2023","2023","ha","618824","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01620","Tea leaves","2023","2023","kg/ha","10250.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01620","Tea leaves","2023","2023","t","6343165.25","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01234","Tomatoes","2023","2023","ha","849000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01234","Tomatoes","2023","2023","kg/ha","24057.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01234","Tomatoes","2023","2023","t","20425000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01929.02","True hemp, raw or retted","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01929.02","True hemp, raw or retted","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01970","Unmanufactured tobacco","2023","2023","ha","422115","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5412","Yield","01970","Unmanufactured tobacco","2023","2023","kg/ha","1823.4","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5510","Production","01970","Unmanufactured tobacco","2023","2023","t","769671.49","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01376","Walnuts, in shell","2023","2023","ha","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5510","Production","01376","Walnuts, in shell","2023","2023","t","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","01221","Watermelons","2023","2023","ha","126000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","01221","Watermelons","2023","2023","kg/ha","28777.8","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","01221","Watermelons","2023","2023","t","3626000","A","Official figure",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","2023","2023","ha","31400716","A","Official figure",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","2023","2023","kg/ha","3520.7","A","Official figure",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","2023","2023","t","110553675.31","A","Official figure",""
